element,name,regime_label,oxygen_relation_class_3d,distance_to_oxygen_3d,oxygen_similarity_score_3d,oxygen_compatibility_index,oxygen_affinity_proxy,redox_flexibility_proxy,electronegativity,electron_affinity,ionization_energy_1,group,period,pca1_2d,pca2_2d,pca1_3d,pca2_3d,pca3_3d,distance_to_oxygen_2d,distance_to_sulfur_3d,sulfur_similarity_score_3d,distance_to_sulfur_2d,mean_oxygen_likeness,geometric_stability,global_class,curvature,geometric_stability_v2,cluster
O,Oxygen,buffer / catalytic regime,oxygen-core,0.0,1.0,0.9647058823529412,1.0,0.8,3.44,1.461,13.618,16,2,4.306934629120633,1.959254579508688,4.306934629120633,1.959254579508688,-0.5717569182631126,0.0,1.4550155332250634,0.8448558919164977,1.4327340549953096,1.0,1.0,core oxygen-like,,0.9741838571494897,2
S,Sulfur,buffer / catalytic regime,oxygen-near,1.4550155332250634,0.8577011725735089,0.8451392925588155,0.85,0.75,2.58,2.077,10.36,16,3,3.0018424112198314,1.3681021667435282,3.0018424112198314,1.3681021667435282,-0.8254167881339944,1.4327340549953096,0.0,1.0,0.0,0.8577011725735089,0.40732939831396375,transitional,,0.9741838571494897,2
I,Iodine,strong binding / low flexibility regime,oxygen-near,1.4770163321703698,0.8555495200166294,0.7188080433007694,0.82,0.42,2.66,3.059,10.451,17,5,3.297101376584994,0.9410018622359052,3.297101376584994,0.9410018622359052,-0.2182382464254012,1.4340856997265234,0.7989107010488621,0.9148144570815252,0.5192230028985719,0.8555495200166294,0.40371150848399806,transitional,1.433014734279757,0.411012718464292,3
Cl,Chlorine,strong binding / low flexibility regime,oxygen-near,1.5779761056725183,0.8456757715524076,0.695799720385669,0.78,0.4,3.16,3.613,12.968,17,3,4.667165673532872,0.5274619592688722,4.667165673532872,0.5274619592688722,-1.1287237730595874,1.4764133949309486,1.8899663101570447,0.7984783455560351,1.8654697870574,0.8456757715524076,0.38790119031732817,transitional,0.0789589745568422,0.9268192985842925,2
Br,Bromine,structural / support regime,oxygen-near,1.626778355869405,0.8409029682247355,0.6748317755251882,0.74,0.38,2.96,3.365,11.814,17,4,3.957771195481357,0.3722537243467281,3.957771195481357,0.3722537243467281,-0.6487049620953189,1.6249574818054655,1.3916684340265013,0.851610410325696,1.3804035499823415,0.8409029682247355,0.3806944722860039,transitional,0.05215752330526202,0.9504280279806263,2
Se,Selenium,buffer / catalytic regime,oxygen-near,1.8281943454140903,0.8212047186303637,0.8109524756874397,0.82,0.72,2.55,2.021,9.752,16,4,2.6109465070673186,1.3096835302069854,2.6109465070673186,1.3096835302069854,-0.3620516337154608,1.816127269283968,0.6090316997556947,0.9350607071226632,0.3952370743971258,0.8212047186303637,0.35358249040469847,transitional,0.15261373934779887,0.867593336659205,2
Te,Tellurium,buffer / catalytic regime,oxygen-intermediate,2.5180940840597743,0.7537333263260328,0.7839639187657073,0.82,0.72,2.1,1.971,9.01,16,5,1.9193029886577768,1.336901849967982,1.9193029886577768,1.336901849967982,-0.0690740702657717,2.467409121022721,1.320953961362837,0.8591504905100512,1.082988947851215,0.7537333263260328,0.2842448144098609,far / unstable,0.48848374910099857,0.671824600439186,3
At,Astatine,strong binding / low flexibility regime,oxygen-intermediate,2.552293083606642,0.7503887039329702,0.6375672462790704,0.76,0.36,2.2,2.8,9.3,17,6,2.3707264323808936,0.4801422615411063,2.3707264323808936,0.4801422615411063,0.188193444813793,2.4365293821921346,1.4880140712807095,0.8413373530158474,1.0893944060774887,0.7503887039329702,0.2815083036405037,far / unstable,0.6557007390988161,0.6039738802945099,3
C,Carbon,strong binding / low flexibility regime,oxygen-intermediate,2.7055014015923398,0.7354051085667912,0.6779855728384813,0.75,0.5,2.55,1.262,11.26,14,2,2.7491470960045783,-0.2241564315108752,2.7491470960045783,-0.2241564315108752,-0.926372474386696,2.682160629301175,1.6153434361254475,0.8277605902318175,1.6121855867259247,0.7354051085667912,0.269869011402958,far / unstable,0.11900931843882967,0.8936476073274673,2
Au,Gold,buffer / catalytic regime,oxygen-intermediate,2.714883777667044,0.7344875230954213,0.779442068061698,0.76,0.78,2.54,2.309,9.226,11,6,1.6585383230992792,1.6831417512736857,1.6585383230992792,1.6831417512736857,-0.0422735487639456,2.662750699495445,1.5865147797462638,0.8308345066808609,1.3797520838840296,0.7344875230954213,0.2691874254618007,far / unstable,0.1438259419109933,0.8742588914614903,2
F,Fluorine,strong binding / low flexibility regime,oxygen-intermediate,2.766473157766548,0.7294421417038239,0.6080121507991766,0.76,0.3,3.98,3.401,17.423,17,2,6.074938126371586,-0.1280613507523746,6.074938126371586,-0.1280613507523746,-0.9848544535130944,2.7354568464907656,3.4216725317761374,0.6351569306483031,3.41795590164206,0.7294421417038239,0.2655003654912497,far / unstable,0.04220700402479949,0.9595022832682909,2
