element,r_core,r_boundary,first_weak,first_damage,first_nonreturn,pathway_class,refined_weak,refined_damage,refined_nonreturn,final_weak,final_damage,final_nonreturn,final_pathway_class
O,1.8281943454140903,3.4663242049803253,,0.886206896551724,0.7551724137931034,damage/nonreturn coupled,,0.7999999999999999,0.7310344827586206,,0.7999999999999999,0.7310344827586206,damage/nonreturn coupled
S,1.4550155332250634,2.1597132757208892,,0.6241379310344827,0.6241379310344827,damage/nonreturn coupled,,0.5655172413793103,0.5999999999999999,,0.5655172413793103,0.5999999999999999,damage/nonreturn coupled
I,1.4412894051891445,2.2746773751288365,,0.6241379310344827,0.6241379310344827,damage/nonreturn coupled,,0.5724137931034482,0.593103448275862,,0.5724137931034482,0.593103448275862,damage/nonreturn coupled
Cl,1.8899663101570447,3.568111194856177,,0.886206896551724,0.7551724137931034,damage/nonreturn coupled,,0.8068965517241379,0.7517241379310344,,0.8068965517241379,0.7517241379310344,damage/nonreturn coupled
Br,1.626778355869405,2.7859233903269778,,0.689655172413793,0.689655172413793,damage/nonreturn coupled,,0.6517241379310345,0.6586206896551724,,0.6517241379310345,0.6586206896551724,damage/nonreturn coupled
Se,1.071825739281746,1.86010961359918,,0.49310344827586206,0.49310344827586206,damage/nonreturn coupled,,0.4413793103448276,0.4482758620689655,,0.4413793103448276,0.4482758620689655,damage/nonreturn coupled
Te,1.0020013434219743,1.4739417420227914,,0.4275862068965517,0.4275862068965517,damage/nonreturn coupled,,0.40344827586206894,0.4241379310344827,,0.40344827586206894,0.4241379310344827,damage/nonreturn coupled
At,1.1035416394381161,1.7581042664146491,,0.49310344827586206,0.49310344827586206,damage/nonreturn coupled,,0.4482758620689655,0.46206896551724136,,0.4482758620689655,0.46206896551724136,damage/nonreturn coupled
C,1.469456303502642,2.1428178573061163,,0.6241379310344827,0.6241379310344827,damage/nonreturn coupled,,0.5655172413793103,0.5999999999999999,,0.5655172413793103,0.5999999999999999,damage/nonreturn coupled
Au,0.9202665538916459,1.5122251684298316,,0.4275862068965517,0.4275862068965517,damage/nonreturn coupled,,0.38275862068965516,0.3896551724137931,,0.38275862068965516,0.3896551724137931,damage/nonreturn coupled
