element,distance_to_oxygen_3d,dominant_regime,frac_damage_before_nonreturn,frac_no_transition,frac_nonreturn_before_damage,erc_rank
O,0.0,no-transition,0.29777777777777775,0.5066666666666667,0.0,53
S,1.4550155332250634,no-transition,0.3288888888888889,0.44,0.12,49
I,1.4770163321703698,no-transition,0.4311111111111111,0.44,0.013333333333333334,25
Cl,1.5779761056725183,no-transition,0.28,0.52,0.0,54
Br,1.626778355869405,no-transition,0.39111111111111113,0.4622222222222222,0.0,32
Se,1.8281943454140903,damage-before-nonreturn,0.47555555555555556,0.3422222222222222,0.04888888888888889,19
Te,2.5180940840597743,nonreturn-before-damage,0.07555555555555556,0.3377777777777778,0.5333333333333333,85
At,2.552293083606642,no-transition,0.3377777777777778,0.35555555555555557,0.17777777777777778,44
C,2.70550140159234,no-transition,0.27555555555555555,0.4444444444444444,0.1511111111111111,55
Au,2.714883777667044,no-transition,0.29777777777777775,0.31555555555555553,0.27555555555555555,51
F,2.766473157766548,no-transition,0.14666666666666667,0.7466666666666667,0.0,71
Pt,3.060844068790957,damage-before-nonreturn,0.3333333333333333,0.28444444444444444,0.26222222222222225,46
Po,3.1141230887851465,nonreturn-before-damage,0.022222222222222223,0.3333333333333333,0.6133333333333333,104
P,3.289086407150735,no-transition,0.24,0.3333333333333333,0.3111111111111111,61
As,3.3861792930184165,damage-before-nonreturn,0.39111111111111113,0.30666666666666664,0.19111111111111112,31
Ir,3.4663242049803253,damage-before-nonreturn,0.4222222222222222,0.25333333333333335,0.2088888888888889,27
Si,3.5173780054829584,no-transition,0.25333333333333335,0.36,0.23555555555555555,59
Cu,3.5357807728437387,nonreturn-before-damage,0.08,0.27555555555555555,0.5688888888888889,83
Rh,3.571108757508768,damage-before-nonreturn,0.4666666666666667,0.24444444444444444,0.17333333333333334,21
Ni,3.574924098846936,nonreturn-before-damage,0.10222222222222223,0.26222222222222225,0.5511111111111111,76
Sb,3.676959963153781,damage-before-nonreturn,0.3511111111111111,0.28888888888888886,0.2577777777777778,42
Ru,3.738017572401126,damage-before-nonreturn,0.5022222222222222,0.24444444444444444,0.13777777777777778,12
Ge,3.795712899996285,damage-before-nonreturn,0.49777777777777776,0.28888888888888886,0.06222222222222222,14
