element,A,sigma,k_memory,damage_threshold,first_damage,first_nonreturn,delta_damage_minus_nonreturn,regime,max_r,final_damage,r_core,r_boundary,config
O,0.1,0.05,0.0,0.1,,,,no-transition,0.012443747452529302,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,0.1,0.21111111111111108,0.0,0.1,,,,no-transition,0.040113252486647794,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,0.1,0.3722222222222222,0.0,0.1,,,,no-transition,0.05774613878297552,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,0.1,0.5333333333333333,0.0,0.1,,,,no-transition,0.06995700457875327,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,0.1,0.6944444444444444,0.0,0.1,,,,no-transition,0.07882833001621944,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,0.1,0.8555555555555555,0.0,0.1,,,,no-transition,0.08549379056056446,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,0.1,1.0166666666666666,0.0,0.1,,,,no-transition,0.09062507500135739,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,0.1,1.1777777777777778,0.0,0.1,,,,no-transition,0.09464450431705033,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,0.1,1.3388888888888888,0.0,0.1,,,,no-transition,0.09783369322876316,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,0.1,1.5,0.0,0.1,,,,no-transition,0.10039031862963801,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,0.6444444444444445,0.05,0.0,0.1,,,,no-transition,0.08039120108782742,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,0.6444444444444445,0.21111111111111108,0.0,0.1,,,,no-transition,0.26327576654532087,0.0,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
