element,A,sigma,k_memory,damage_threshold,first_damage,first_nonreturn,delta_damage_minus_nonreturn,regime,max_r,final_damage,r_core,r_boundary
O,0.1,0.05,0.0,0.1,,,,no-transition,0.012443747452529302,0.0,1.8281943454140903,3.4663242049803253
O,0.1,0.15357142857142858,0.0,0.1,,,,no-transition,0.031780028015002244,0.0,1.8281943454140903,3.4663242049803253
O,0.1,0.2571428571428571,0.0,0.1,,,,no-transition,0.04589332970016028,0.0,1.8281943454140903,3.4663242049803253
O,0.1,0.3607142857142857,0.0,0.1,,,,no-transition,0.056699028677875234,0.0,1.8281943454140903,3.4663242049803253
O,0.1,0.46428571428571425,0.0,0.1,,,,no-transition,0.06522357673019073,0.0,1.8281943454140903,3.4663242049803253
O,0.1,0.5678571428571428,0.0,0.1,,,,no-transition,0.07209080157752781,0.0,1.8281943454140903,3.4663242049803253
O,0.1,0.6714285714285715,0.0,0.1,,,,no-transition,0.0777161294170987,0.0,1.8281943454140903,3.4663242049803253
O,0.1,0.775,0.0,0.1,,,,no-transition,0.08238735652768216,0.0,1.8281943454140903,3.4663242049803253
O,0.1,0.8785714285714286,0.0,0.1,,,,no-transition,0.08630854852965336,0.0,1.8281943454140903,3.4663242049803253
O,0.1,0.9821428571428571,0.0,0.1,,,,no-transition,0.08963080731515055,0.0,1.8281943454140903,3.4663242049803253
O,0.1,1.0857142857142856,0.0,0.1,,,,no-transition,0.092465059397911,0.0,1.8281943454140903,3.4663242049803253
O,0.1,1.1892857142857143,0.0,0.1,,,,no-transition,0.09489673783560731,0.0,1.8281943454140903,3.4663242049803253
O,0.1,1.292857142857143,0.0,0.1,,,,no-transition,0.09699455836305491,0.0,1.8281943454140903,3.4663242049803253
O,0.1,1.3964285714285714,0.0,0.1,,,,no-transition,0.09881089177272126,0.0,1.8281943454140903,3.4663242049803253
O,0.1,1.5,0.0,0.1,,,,no-transition,0.10039031862963801,0.0,1.8281943454140903,3.4663242049803253
O,0.45000000000000007,0.05,0.0,0.1,,,,no-transition,0.05609137814548398,0.0,1.8281943454140903,3.4663242049803253
O,0.45000000000000007,0.15357142857142858,0.0,0.1,,,,no-transition,0.1442029883003758,0.0,1.8281943454140903,3.4663242049803253
O,0.45000000000000007,0.2571428571428571,0.0,0.1,,,,no-transition,0.20984255695536097,0.0,1.8281943454140903,3.4663242049803253
O,0.45000000000000007,0.3607142857142857,0.0,0.1,,,,no-transition,0.26119061665936655,0.0,1.8281943454140903,3.4663242049803253
O,0.45000000000000007,0.46428571428571425,0.0,0.1,,,,no-transition,0.30257511509385254,0.0,1.8281943454140903,3.4663242049803253
O,0.45000000000000007,0.5678571428571428,0.0,0.1,,,,no-transition,0.3366322104632547,0.0,1.8281943454140903,3.4663242049803253
O,0.45000000000000007,0.6714285714285715,0.0,0.1,,,,no-transition,0.3651171370731592,0.0,1.8281943454140903,3.4663242049803253
O,0.45000000000000007,0.775,0.0,0.1,,,,no-transition,0.3892379377865738,0.0,1.8281943454140903,3.4663242049803253
O,0.45000000000000007,0.8785714285714286,0.0,0.1,,,,no-transition,0.4098729665941147,0.0,1.8281943454140903,3.4663242049803253
O,0.45000000000000007,0.9821428571428571,0.0,0.1,,,,no-transition,0.4276761439412474,0.0,1.8281943454140903,3.4663242049803253
O,0.45000000000000007,1.0857142857142856,0.0,0.1,,,,no-transition,0.4431328633523553,0.0,1.8281943454140903,3.4663242049803253
O,0.45000000000000007,1.1892857142857143,0.0,0.1,,,,no-transition,0.4566115222483527,0.0,1.8281943454140903,3.4663242049803253
O,0.45000000000000007,1.292857142857143,0.0,0.1,,,,no-transition,0.46841797377057126,0.0,1.8281943454140903,3.4663242049803253
O,0.45000000000000007,1.3964285714285714,0.0,0.1,,,,no-transition,0.47879030910725345,0.0,1.8281943454140903,3.4663242049803253
O,0.45000000000000007,1.5,0.0,0.1,,,,no-transition,0.48793428949347817,0.0,1.8281943454140903,3.4663242049803253
O,0.8,0.05,0.0,0.1,,,,no-transition,0.09985412361277773,0.0,1.8281943454140903,3.4663242049803253
O,0.8,0.15357142857142858,0.0,0.1,,,,no-transition,0.25807969275121045,0.0,1.8281943454140903,3.4663242049803253
O,0.8,0.2571428571428571,0.0,0.1,,,,no-transition,0.3777639908480369,0.0,1.8281943454140903,3.4663242049803253
O,0.8,0.3607142857142857,0.0,0.1,,,,no-transition,0.4729388631360757,0.0,1.8281943454140903,3.4663242049803253
O,0.8,0.46428571428571425,0.0,0.1,,,,no-transition,0.5508941448123501,0.0,1.8281943454140903,3.4663242049803253
O,0.8,0.5678571428571428,0.0,0.1,,,,no-transition,0.6160724520472619,0.0,1.8281943454140903,3.4663242049803253
O,0.8,0.6714285714285715,0.0,0.1,,,,no-transition,0.6714180905952523,0.0,1.8281943454140903,3.4663242049803253
O,0.8,0.775,0.0,0.1,,,,no-transition,0.7189761026632596,0.0,1.8281943454140903,3.4663242049803253
O,0.8,0.8785714285714286,0.0,0.1,,,,no-transition,0.7602547390401313,0.0,1.8281943454140903,3.4663242049803253
O,0.8,0.9821428571428571,0.0,0.1,,,,no-transition,0.7963571619423845,0.0,1.8281943454140903,3.4663242049803253
O,0.8,1.0857142857142856,0.0,0.1,,,,no-transition,0.8280985606618119,0.0,1.8281943454140903,3.4663242049803253
O,0.8,1.1892857142857143,0.0,0.1,,,,no-transition,0.8561343734180973,0.0,1.8281943454140903,3.4663242049803253
O,0.8,1.292857142857143,0.0,0.1,,,,no-transition,0.8809744714811324,0.0,1.8281943454140903,3.4663242049803253
O,0.8,1.3964285714285714,0.0,0.1,,,,no-transition,0.9030373742812687,0.0,1.8281943454140903,3.4663242049803253
O,0.8,1.5,0.0,0.1,,,,no-transition,0.9226867778135677,0.0,1.8281943454140903,3.4663242049803253
O,1.1500000000000001,0.05,0.0,0.1,,,,no-transition,0.14371434229379068,0.0,1.8281943454140903,3.4663242049803253
O,1.1500000000000001,0.15357142857142858,0.0,0.1,,,,no-transition,0.3731795692619573,0.0,1.8281943454140903,3.4663242049803253
O,1.1500000000000001,0.2571428571428571,0.0,0.1,,,,no-transition,0.5489829031548725,0.0,1.8281943454140903,3.4663242049803253
